0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.019417475728155338,0.016040523427606587,0.021528070915998312,0.016040523427606587,0.017728999577880964,0.026593499366821444,0.018995356690586745,0.018995356690586745,0.029548332629801603,0.0223723089911355,0.026171380329252848,0.017728999577880964,0.014774166314900802,0.026171380329252848,0.021950189953566904,0.010130856901646263,0.021528070915998312,0.02448290417897847,0.011819333051920641,0.017306880540312368,0.010975094976783452,0.013929928239763613,0.021528070915998312,0.028704094554664415,0.01561840439003799,0.017306880540312368,0.025749261291684256,0.018995356690586745,0.016040523427606587,0.020683832840861123,0.025749261291684256,0.024060785141409878,0.030392570704938792,0.029548332629801603,0.024060785141409878,0.015196285352469396,0.024060785141409878,0.020261713803292527,0.026171380329252848,0.017306880540312368,0.015196285352469396,0.01561840439003799,0.020261713803292527,0.017306880540312368,0.015196285352469396,0.016040523427606587,0.018995356690586745,0.026593499366821444,0.02912621359223301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.019131127939418093,0.025508170585890794,0.02510960542048625,0.020326823435631726,0.0219210840972499,0.013551215623754484,0.023116779593463532,0.01634117178158629,0.029892387405340774,0.015544041450777202,0.014746911119968115,0.019131127939418093,0.015544041450777202,0.014746911119968115,0.0219210840972499,0.022718214428058988,0.038262255878836186,0.016739736946990835,0.017935432443204464,0.014746911119968115,0.03347947389398167,0.020326823435631726,0.016739736946990835,0.017935432443204464,0.027102431247508968,0.021522518931845355,0.01753686727779992,0.017935432443204464,0.01315265045834994,0.025508170585890794,0.01753686727779992,0.025906735751295335,0.0,0.028298126743722597,0.011159824631327222,0.013551215623754484,0.019131127939418093,0.03188521323236349,0.023913909924272617,0.022718214428058988,0.018732562774013552,0.011558389796731766,0.015544041450777202,0.020326823435631726,0.011558389796731766,0.0346751693901953,0.022718214428058988,0.02869669190912714,0.023913909924272617
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.015438054805094558,0.020841373986877652,0.020069471246622925,0.018911617136240833,0.01968351987649556,0.020069471246622925,0.02277113083751447,0.024700887688151294,0.024700887688151294,0.02277113083751447,0.018911617136240833,0.020069471246622925,0.018911617136240833,0.011192589733693555,0.014280200694712466,0.027016595908915475,0.0,0.014280200694712466,0.020841373986877652,0.037823234272481666,0.020069471246622925,0.015824006175221922,0.020841373986877652,0.032033963720571206,0.027016595908915475,0.02431493631802393,0.023928984947896564,0.02238517946738711,0.010034735623311463,0.021999228097259745,0.021999228097259745,0.01968351987649556,0.0,0.03434967194133539,0.026244693168660748,0.020841373986877652,0.011192589733693555,0.01273639521420301,0.028560401389424932,0.021999228097259745,0.02238517946738711,0.020841373986877652,0.026244693168660748,0.018525665766113468,0.021999228097259745,0.015438054805094558,0.013894249324585103,0.02238517946738711,0.028946352759552298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.027491408934707903,0.012600229095074456,0.01718213058419244,0.022145857197403588,0.021000381825124093,0.016800305460099276,0.025964108438335243,0.026727758686521573,0.016800305460099276,0.024818633066055747,0.029782359679266894,0.012600229095074456,0.024436807941962582,0.026345933562428408,0.010691103474608629,0.019473081328751432,0.0,0.024818633066055747,0.022145857197403588,0.026727758686521573,0.021000381825124093,0.02940053455517373,0.015654830087819777,0.027491408934707903,0.023673157693776252,0.024436807941962582,0.021000381825124093,0.0,0.02787323405880107,0.019854906452844597,0.019854906452844597,0.013745704467353952,0.0,0.019854906452844597,0.024436807941962582,0.022527682321496753,0.015654830087819777,0.014891179839633447,0.023291332569683087,0.021000381825124093,0.031309660175639555,0.02787323405880107,0.016800305460099276,0.019473081328751432,0.021000381825124093,0.019473081328751432,0.008781977854142803,0.023291332569683087,0.037800687285223365
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0.025451862781261526,0.01770564367392106,0.018443378827001106,0.021394319439321283,0.02397639247510144,0.014754703061600885,0.01549243821468093,0.020656584286241238,0.018443378827001106,0.029140538546661748,0.021394319439321283,0.02471412762818148,0.019549981556621174,0.01918111398008115,0.018443378827001106,0.028402803393581703,0.0,0.02618959793434157,0.02397639247510144,0.012910365178900774,0.01549243821468093,0.018074511250461084,0.018443378827001106,0.016967908520841016,0.023607524898561418,0.03578015492438215,0.026558465510881594,0.0,0.02950940612320177,0.02102545186278126,0.01770564367392106,0.02250092216894135,0.0,0.032091479158981924,0.018074511250461084,0.010697159719660641,0.022132054592401328,0.03098487642936186,0.02471412762818148,0.02397639247510144,0.030247141276281815,0.02618959793434157,0.021394319439321283,0.02434526005164146,0.021394319439321283,0.02102545186278126,0.02102545186278126,0.02582073035780155,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0.029285714285714286,0.020714285714285713,0.019285714285714285,0.015714285714285715,0.023571428571428573,0.0225,0.026785714285714284,0.019642857142857142,0.027142857142857142,0.0175,0.016785714285714286,0.023571428571428573,0.03785714285714286,0.015357142857142857,0.018214285714285714,0.024285714285714285,0.0,0.018571428571428572,0.027142857142857142,0.025357142857142856,0.008214285714285714,0.019642857142857142,0.018571428571428572,0.016785714285714286,0.02035714285714286,0.0,0.018571428571428572,0.0,0.0225,0.023571428571428573,0.028214285714285713,0.02035714285714286,0.0,0.019285714285714285,0.0225,0.016785714285714286,0.024642857142857143,0.014642857142857143,0.029285714285714286,0.033928571428571426,0.02892857142857143,0.016785714285714286,0.025357142857142856,0.031785714285714285,0.019642857142857142,0.027857142857142858,0.027142857142857142,0.03535714285714286,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0.018633540372670808,0.018633540372670808,0.032781228433402344,0.028295376121463076,0.01932367149758454,0.022429261559696344,0.029675638371290544,0.01621808143547274,0.017943409247757072,0.022084195997239476,0.021048999309868876,0.022429261559696344,0.0,0.019668737060041408,0.025879917184265012,0.012077294685990338,0.0,0.043478260869565216,0.031746031746031744,0.024844720496894408,0.03243616287094548,0.024499654934437544,0.028295376121463076,0.029675638371290544,0.025534851621808144,0.0,0.02139406487232574,0.0,0.023119392684610076,0.01828847481021394,0.022774327122153208,0.025879917184265012,0.0,0.023809523809523808,0.026224982746721876,0.031746031746031744,0.01621808143547274,0.012077294685990338,0.024154589371980676,0.041407867494824016,0.012767425810904072,0.013457556935817806,0.01621808143547274,0.022429261559696344,0.020703933747412008,0.017598343685300208,0.023119392684610076,0.018978605935127676,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0.01782178217821782,0.015181518151815182,0.02277227722772277,0.02046204620462046,0.021122112211221122,0.017161716171617162,0.02442244224422442,0.01881188118811881,0.024752475247524754,0.03234323432343234,0.031683168316831684,0.03333333333333333,0.0,0.016831683168316833,0.0231023102310231,0.022112211221122113,0.0,0.0,0.027392739273927394,0.026732673267326732,0.014521452145214522,0.02574257425742574,0.01287128712871287,0.026402640264026403,0.015181518151815182,0.0,0.027722772277227723,0.0,0.013201320132013201,0.021122112211221122,0.026402640264026403,0.029372937293729372,0.0,0.02574257425742574,0.01287128712871287,0.0231023102310231,0.024752475247524754,0.030693069306930693,0.023762376237623763,0.049174917491749175,0.022112211221122113,0.022112211221122113,0.026732673267326732,0.017161716171617162,0.02013201320132013,0.01881188118811881,0.03663366336633663,0.03762376237623762,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2;0.034516129032258064,0.03354838709677419,0.023548387096774193,0.017419354838709676,0.026774193548387098,0.02935483870967742,0.016129032258064516,0.023225806451612905,0.012580645161290323,0.03193548387096774,0.02032258064516129,0.012580645161290323,0.0,0.03096774193548387,0.024838709677419354,0.02258064516129032,0.0,0.0,0.016451612903225808,0.017096774193548388,0.022258064516129033,0.028064516129032258,0.024516129032258065,0.023870967741935485,0.031612903225806455,0.0,0.01967741935483871,0.0,0.03193548387096774,0.024516129032258065,0.026129032258064518,0.024516129032258065,0.0,0.016129032258064516,0.017419354838709676,0.024838709677419354,0.026129032258064518,0.021612903225806453,0.028064516129032258,0.0,0.05129032258064516,0.01903225806451613,0.02032258064516129,0.015483870967741935,0.031612903225806455,0.023548387096774193,0.017419354838709676,0.03612903225806452,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2;0.027896995708154508,0.027896995708154508,0.010423053341508276,0.019619865113427344,0.02023298589822195,0.017780502759043533,0.026057633353770693,0.018087063151440833,0.017167381974248927,0.0269773145309626,0.028816676885346414,0.030962599632127528,0.0,0.02575107296137339,0.02145922746781116,0.02023298589822195,0.0,0.0,0.02575107296137339,0.023298589822194973,0.017780502759043533,0.023298589822194973,0.02851011649294911,0.032188841201716736,0.023298589822194973,0.0,0.02421827099938688,0.0,0.023298589822194973,0.0269773145309626,0.01870018393623544,0.03126916002452483,0.0,0.0134886572654813,0.03740036787247088,0.013795217657878603,0.01594114040465972,0.028816676885346414,0.03494788473329246,0.0,0.0,0.023298589822194973,0.026670754138565296,0.01655426118945432,0.022072348252605765,0.022072348252605765,0.02421827099938688,0.08277130594727161,0.0
